"frame"	"timestamp"	"original_position"	"position"	"delta_x"	"delta_z"	"left_rotation"	"left_x"	"left_y"	"left_z"	"right_rotation"	"right_x"	"right_y"	"right_z"	"base_opacity"	"left_opacity"	"right_opacity"	"auto_tick"	"auto_duration"	"auto_spacing"	"framerate"	"A_button"	"B_button"	"right_trigger"
623	22	(-1.6, 1.0, 0.0)	(0.5, 1.0, 0.0)	2.128007	0	(0.0, 0.7, 0.0, 0.7)	0	90	0	(0.0, 0.7, 0.0, 0.7)	0	90	0	1	1	1	False	0	0	27.36395	False	False	0
651	23	(-1.6, 1.0, 0.0)	(0.5, 1.0, 0.0)	2.128111	0	(0.0, 0.7, 0.0, 0.7)	0	90	0	(0.0, 0.7, 0.0, 0.7)	0	90	0	1	1	1	False	0	0	28.42295	False	False	0
679	24	(-1.6, 1.0, 0.0)	(0.5, 1.0, 0.0)	2.128155	0	(0.0, 0.6, 0.0, 0.8)	0	73.73979	0	(0.0, 0.6, 0.0, 0.8)	0	73.73979	0	1	1	1	False	0	0	27.09636	False	False	0
706	25	(-1.6, 1.0, 0.0)	(0.5, 1.0, 0.0)	2.128174	0	(0.0, 0.7, 0.0, 0.7)	0	90	0	(0.0, 0.7, 0.0, 0.7)	0	90	0	1	1	1	False	0	0	28.18569	False	False	0
734	26	(-1.6, 1.0, 0.0)	(0.5, 1.0, 0.0)	2.083013	0	(0.0, 0.7, 0.0, 0.7)	0	90	0	(0.0, 0.7, 0.0, 0.7)	0	90	0	1	0.06461081	0.06461081	False	0	0	27.96201	False	True	0
762	27	(-1.6, 1.0, 0.0)	(0.2, 1.0, 0.0)	1.812139	0	(0.0, 0.7, 0.0, 0.7)	0	90	0	(0.0, 0.7, 0.0, 0.7)	0	90	0	1	0.8180794	0.8180794	False	0	0	27.042	False	False	0
789	28	(-1.6, 1.0, 0.0)	(0.1, 1.0, 0.0)	1.699346	0	(0.0, 0.8, 0.0, 0.6)	0	106.2602	0	(0.0, 0.8, 0.0, 0.6)	0	106.2602	0	1	1	1	False	0	0	27.37099	False	False	0
819	29	(-1.6, 1.0, 0.0)	(0.0, 1.0, 0.0)	1.646395	0	(0.0, 1.0, 0.0, 0.2)	0	157.3801	0	(0.0, 1.0, 0.0, 0.2)	0	157.3801	0	1	1	1	False	0	0	32.07033	False	False	0
850	30	(-1.6, 1.0, 0.0)	(0.0, 1.0, 0.0)	1.656417	0.0006465521	(-0.1, 0.9, 0.2, 0.5)	-24.48242	121.6446	1.134422	(-0.1, 0.9, 0.2, 0.5)	335.5176	121.6446	1.134422	1	1	1	False	0	0	28.90574	False	False	0
894	31	(-1.6, 1.0, 0.0)	(0.5, 1.0, 0.0)	2.163846	0.01478584	(0.0, 0.4, 0.0, 0.9)	0	47.92498	0	(0.0, 0.4, 0.0, 0.9)	0	47.92498	0	1	1	1	False	0	0	45.23442	False	False	0
